age,sex,imd_quintile,year,time_since_quit,p_relapse_1month
49,1,2,2016,2,0.004017089791493067
49,1,2,2016,3,0.002454233208098122
49,1,2,2016,4,0.0014889405268577738
49,1,2,2016,5,0.0011377886239645196
49,1,2,2016,6,0.0005411725678691193
49,1,2,2016,7,0.000689704628898169
49,1,2,2016,8,0.00014706322440949382
49,1,2,2016,9,0.0006401484522092771
49,1,2,2016,10,0.0
49,1,2,2017,1,0.00791021269744685
49,1,2,2017,2,0.003972561367626359
49,1,2,2017,3,0.0024258071774216905
49,1,2,2017,4,0.0014711976081046574
49,1,2,2017,5,0.0011240856643245367
49,1,2,2017,6,0.0005345342709927037
49,1,2,2017,7,0.0006812832518927614
49,1,2,2017,8,0.0001452368470159504
49,1,2,2017,9,0.0006323201609168549
49,1,2,2017,10,0.0
49,1,2,2018,1,0.008466665359915804
49,1,2,2018,2,0.004244576162442337
49,1,2,2018,3,0.0025898506796449006
49,1,2,2018,4,0.0015698594392762333
49,1,2,2018,5,0.0011992309225263842
49,1,2,2018,6,0.0005700700037107875
49,1,2,2018,7,0.0007266384466694253
49,1,2,2018,8,0.0001548556088438735
49,1,2,2018,9,0.0006743960826884887
49,1,2,2018,10,0.0
49,1,2,2019,1,0.008753678035861134
49,1,2,2019,2,0.004384979927759325
49,1,2,2019,3,0.0026747081544771234
49,1,2,2019,4,0.0016209973302842018
49,1,2,2019,5,0.001238213142662592
49,1,2,2019,6,0.0005885344294546124
49,1,2,2019,7,0.0007501950635230292
49,1,2,2019,8,0.00015985951841401835
49,1,2,2019,9,0.0006962525744560466
49,1,2,2019,10,0.0
49,1,3,2011,1,0.008090376098308316
49,1,3,2011,2,0.00404287072501841
49,1,3,2011,3,0.002462853839506285
49,1,3,2011,4,0.00149125082133994
49,1,3,2011,5,0.0011387037662387023
49,1,3,2011,6,0.0005408970593896445
49,1,3,2011,7,0.0006895826477745226
49,1,3,2011,8,0.00014685616592569062
49,1,3,2011,9,0.0006399645281083277
49,1,3,2011,10,0.0
49,1,3,2012,1,0.00820270279518931
49,1,3,2012,2,0.0040995450098973985
49,1,3,2012,3,0.002497448910378508
49,1,3,2012,4,0.0015122121712638492
49,1,3,2012,5,0.0011547116996860618
49,1,3,2012,6,0.0005485015394605108
49,1,3,2012,7,0.0006992775050067568
49,1,3,2012,8,0.00014892069548355646
49,1,3,2012,9,0.0006489618138093567
49,1,3,2012,10,0.0
49,1,3,2013,1,0.008206206115625392
49,1,3,2013,2,0.004101554831787535
49,1,3,2013,3,0.0024987348851738256
49,1,3,2013,4,0.0015130137193706261
49,1,3,2013,5,0.0011553300858901938
49,1,3,2013,6,0.0005488003724639645
49,1,3,2013,7,0.0006996568697970051
49,1,3,2013,8,0.00014900273978757372
49,1,3,2013,9,0.0006493143816481695
49,1,3,2013,10,0.0
49,1,3,2014,1,0.008496591990118652
49,1,3,2014,2,0.004255567908798885
49,1,3,2014,3,0.0025947830398728167
49,1,3,2014,4,0.0015720175961571048
49,1,3,2014,5,0.0012006221164637676
49,1,3,2014,6,0.0005705072042373471
49,1,3,2014,7,0.0007272693318568502
49,1,3,2014,8,0.00015493099505603514
49,1,3,2014,9,0.0006749589893518815
49,1,3,2014,10,0.0
49,1,3,2015,1,0.008731717005462714
49,1,3,2015,2,0.004381594989111837
49,1,3,2015,3,0.0026738433836166475
49,1,3,2015,4,0.0016207908361793866
49,1,3,2015,5,0.0012381227969858744
49,1,3,2015,6,0.0005885330094129726
49,1,3,2015,7,0.0007501820616149235
49,1,3,2015,8,0.00015986405779155888
49,1,3,2015,9,0.0006962441109121809
49,1,3,2015,10,0.0
49,1,3,2016,1,0.008750721889850932
49,1,3,2016,2,0.004398051429454153
49,1,3,2016,3,0.002685816444692901
49,1,3,2016,4,0.0016288231808853082
49,1,3,2016,5,0.0012444818883433628
49,1,3,2016,6,0.0005917407529952845
49,1,3,2016,7,0.0007542114301972713
49,1,3,2016,8,0.00016076948724308426
49,1,3,2016,9,0.0007000021207166363
49,1,3,2016,10,0.0
49,1,3,2017,1,0.008880349819765265
49,1,3,2017,2,0.004472440374573283
49,1,3,2017,3,0.002733723064704763
49,1,3,2017,4,0.0016588537411219573
49,1,3,2017,5,0.0012677054364982343
49,1,3,2017,6,0.000603013251915141
49,1,3,2017,7,0.0007685053284822718
49,1,3,2017,8,0.00016387421079111508
49,1,3,2017,9,0.0007132913896154003
49,1,3,2017,10,0.0
49,1,3,2018,1,0.009409291327947322
49,1,3,2018,2,0.004753085883610564
49,1,3,2018,3,0.0029090275460286197
49,1,3,2018,4,0.00176670369427534
49,1,3,2018,5,0.0013505439630192573
49,1,3,2018,6,0.0006427615299090528
49,1,3,2018,7,0.0008190521298621078
49,1,3,2018,8,0.0001747390247007763
49,1,3,2018,9,0.0007602406377904547
49,1,3,2018,10,0.0
49,1,3,2019,1,0.00952711511467208
49,1,3,2019,2,0.004811046498265581
49,1,3,2019,3,0.0029441343812507403
49,1,3,2019,4,0.001787888540401017
49,1,3,2019,5,0.0013667009104495476
49,1,3,2019,6,0.0006504207430910736
49,1,3,2019,7,0.000828821643434785
49,1,3,2019,8,0.00017681580936623753
49,1,3,2019,9,0.0007693056827401401
49,1,3,2019,10,0.0
49,1,4,2011,1,0.008549452911025601
49,1,4,2011,2,0.004286308606377354
49,1,4,2011,3,0.002614811824530827
49,1,4,2011,4,0.0015846848889013998
49,1,4,2011,5,0.001210452911664217
49,1,4,2011,6,0.0005753095872419456
49,1,4,2011,7,0.0007333489652615599
49,1,4,2011,8,0.00015625961889365048
49,1,4,2011,9,0.0006806143886973759
49,1,4,2011,10,0.0
49,1,4,2012,1,0.008805658499654978
49,1,4,2012,2,0.004424573103229412
49,1,4,2012,3,0.002701663659308684
49,1,4,2012,4,0.0016382838448685266
49,1,4,2012,5,0.0012516654201164545
49,1,4,2012,6,0.0005951183568305707
49,1,4,2012,7,0.000758528793236013
49,1,4,2012,8,0.0001616799238910449
49,1,4,2012,9,0.0007040053551172765
49,1,4,2012,10,0.0
49,1,4,2013,1,0.00901485942284641
49,1,4,2013,2,0.00453641507471636
49,1,4,2013,3,0.0027716624557245773
49,1,4,2013,4,0.0016813879101981177
49,1,4,2013,5,0.0012847825862761786
49,1,4,2013,6,0.0006110155119319893
49,1,4,2013,7,0.0007787428339760538
49,1,4,2013,8,0.00016602626257045117
49,1,4,2013,9,0.0007227813184773613
49,1,4,2013,10,0.0
49,1,4,2014,1,0.008900850821986661
49,1,4,2014,2,0.004477436148750402
49,1,4,2014,3,0.0027352865795300385
49,1,4,2014,4,0.001659203217077354
49,1,4,2014,5,0.0012677996563583704
49,1,4,2014,6,0.0006029146032036081
49,1,4,2014,7,0.0007684256998894412
49,1,4,2014,8,0.00016382092211097987
49,1,4,2014,9,0.0007132032479245654
49,1,4,2014,10,0.0
49,1,4,2015,1,0.008748948382231503
49,1,4,2015,2,0.004391522378657808
49,1,4,2015,3,0.0026802539642833967
49,1,4,2015,4,0.0016248184274426647
49,1,4,2015,5,0.0012412404489734463
49,1,4,2015,6,0.0005900490597586794
49,1,4,2015,7,0.0007521035406430343
49,1,4,2015,8,0.0001602821830755108
49,1,4,2015,9,0.0006980308238554445
49,1,4,2015,10,0.0
49,1,4,2016,1,0.009318099591876017
49,1,4,2016,2,0.004697126437417598
49,1,4,2016,3,0.0028720865971824106
49,1,4,2016,4,0.001743207109746625
49,1,4,2016,5,0.0013322796785136815
49,1,4,2016,6,0.0006338203850643209
49,1,4,2016,7,0.0008077381756899094
49,1,4,2016,8,0.00017226292138472488
49,1,4,2016,9,0.0007497145001449379
49,1,4,2016,10,0.0
49,1,4,2017,1,0.009488900755392438
49,1,4,2017,2,0.004785001684983747
