year,age,sex,imd_quintile,p_start_1month
2016,29,1,4,0.0011978224885403899
2016,29,1,5,0.0012982775457798246
2016,30,2,1,0.000489274922284233
2016,30,2,2,0.00047977117668140945
2016,30,2,3,0.0005356765218463844
2016,30,2,4,0.000500230302821536
2016,30,2,5,0.0005063800924450801
2016,30,1,1,0.0008555243586904071
2016,30,1,2,0.0010636965629672313
2016,30,1,3,0.0010483344351653878
2016,30,1,4,0.0011978224885403899
2016,30,1,5,0.0012982775457798246
2017,12,2,1,0.004524185896831234
2017,12,2,2,0.0043243553497817055
2017,12,2,3,0.005454951352877657
2017,12,2,4,0.005982469564093207
2017,12,2,5,0.007768340433233822
2017,12,1,1,0.005898340384793088
2017,12,1,2,0.005678041971464376
2017,12,1,3,0.006090819175149087
2017,12,1,4,0.006661296021258645
2017,12,1,5,0.008943449742452203
2017,13,2,1,0.004506522821737913
2017,13,2,2,0.004313212068588812
2017,13,2,3,0.005451859092236111
2017,13,2,4,0.005868403234234654
2017,13,2,5,0.007507918209933129
2017,13,1,1,0.006134474113907107
2017,13,1,2,0.0059351661033080205
2017,13,1,3,0.006487400726705728
2017,13,1,4,0.006887139024760569
2017,13,1,5,0.00917655237036652
2017,14,2,1,0.004257179207808104
2017,14,2,2,0.004188130457199124
2017,14,2,3,0.005267450484338743
2017,14,2,4,0.005421687909284878
2017,14,2,5,0.006753581288973964
2017,14,1,1,0.006389624527253335
2017,14,1,2,0.006170134007327022
2017,14,1,3,0.00697465868879954
2017,14,1,4,0.0070745637618442325
2017,14,1,5,0.009569948481139456
2017,15,2,1,0.0036878174981991307
2017,15,2,2,0.0036419558580285116
2017,15,2,3,0.004510144345570732
2017,15,2,4,0.0044905667599849375
2017,15,2,5,0.005523578236876769
2017,15,1,1,0.005945321552986549
2017,15,1,2,0.005737656988519024
2017,15,1,3,0.006593820410190854
2017,15,1,4,0.006595441400465751
2017,15,1,5,0.008902532632757865
2017,16,2,1,0.0028302178174391956
2017,16,2,2,0.002829026377165089
2017,16,2,3,0.00345255164952063
2017,16,2,4,0.003241434610289584
2017,16,2,5,0.004000022476964293
2017,16,1,1,0.004896115537220358
2017,16,1,2,0.004895026695900917
2017,16,1,3,0.005598890882583918
2017,16,1,4,0.0056286404753068675
2017,16,1,5,0.007559453428635288
2017,17,2,1,0.0020793686672718747
2017,17,2,2,0.001965327304784825
2017,17,2,3,0.002435187809386341
